GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,ActionSimple,0,41,1,3,0,9,1,4,0,3
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,Cours,3,0,0,0,1,0,1,0,1,0
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,Action,12,36,3,3,5,11,5,3,2,3
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,ActionSimple.Cours,3,12,0,0,1,5,1,2,1,2
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,ActionComposee,40,82,3,15,8,21,4,9,2,2
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,Portefeuille,103,89,16,10,24,19,13,9,5,4
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,Jour,36,27,8,0,12,8,7,2,3,2
fr.utc.ida.forge.shareportfolioida:sharePortfolioIDA,tp04.metier,Portefeuille.LignePortefeuille,4,19,0,0,1,8,1,4,1,4
